id,jlpt_level,word,reading,meaning,jmdict_pos,jmdict_glosses,image_status,image_score,image_type,visual_domain,image_query_en,image_query_ja,distractor_pool,classification_reason,source
n1_01989,N1,未だ,いまだ,as yet;hitherto;not yet (neg),adverb (fukushi),still | as yet | only | (not) yet | more,review,48,action_needs_review,person_family,person asing yet,未だ,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_01996,N1,末,うら,top end;tip,noun (common) (futsuumeishi),top end | tip,review,55,noun_needs_review,general,top end,末,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_01997,N1,末期,まっき,closing years (period days);last stage,noun (common) (futsuumeishi),hour of death | one's last moments | end of one's life,review,55,noun_needs_review,general,closing years,末期,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_01999,N1,本体,ほんたい,substance;real form;object of worship,noun (common) (futsuumeishi),substance | true form | true character | main part | main unit,review,55,noun_needs_review,general,substance,本体,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02000,N1,本名,ほんみょう,real name,noun (common) (futsuumeishi),real name,review,55,noun_needs_review,general,real name,本名,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02002,N1,本文,ほんぶん,text (of document);body (of letter),noun (common) (futsuumeishi),"text (of a book, document, etc.) | body (of a letter) | this passage | this sentence",review,55,noun_needs_review,general,text,本文,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02003,N1,本格,ほんかく,propriety;fundamental rules,noun (common) (futsuumeishi) | noun or verb acting prenominally,original method | original procedure | genuine way (of doing something),review,48,action_needs_review,person_family,person proprietying,本格,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02007,N1,本音,ほんね,real intention;motive,noun (common) (futsuumeishi),real intention | motive | true opinion | what one really thinks,review,55,noun_needs_review,general,real intention,本音,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02010,N1,杖,つえ,cane,noun (common) (futsuumeishi),cane | walking stick | staff | wand,review,55,noun_needs_review,general,cane,杖,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02012,N1,束縛,そくばく,restraint;shackles;restriction;confinement;binding,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,restraint | restriction | fetters | yoke | shackles,review,48,action_needs_review,person_family,person restrainting,束縛,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02013,N1,条約,じょうやく,treaty;pact,noun (common) (futsuumeishi),treaty | pact | convention | agreement,review,55,noun_needs_review,general,treaty,条約,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02015,N1,来場,らいじょう,attendance,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,attendance,review,48,action_needs_review,person_family,person attendancing,来場,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02017,N1,東,あずま,east;Eastern Japan,noun (common) (futsuumeishi),"eastern Japan (esp. Kamakura or Edo, from perspective of Kyoto or Nara) | eastern provinces | east | wagon | yamatogoto",review,55,noun_needs_review,general,east,東,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02018,N1,林業,りんぎょう,forestry,noun (common) (futsuumeishi),forestry,review,55,noun_needs_review,general,forestry,林業,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02020,N1,果たして,はたして,as was expected;really,adverb (fukushi),as was expected | just as one thought | sure enough | really | actually,review,48,action_needs_review,person_family,person asing was expected,果たして,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02022,N1,果て,はて,the end;the extremity;the limit(s);the result,noun (common) (futsuumeishi),end | extremity | limit | result | outcome,review,55,noun_needs_review,general,end,果て,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02031,N1,柵,さく,fence;paling,noun (common) (futsuumeishi),fence | paling | railing | fortress,review,55,noun_needs_review,general,fence,柵,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02034,N1,株式,かぶしき,stock (company),noun (common) (futsuumeishi),share (in a company) | stock,review,55,noun_needs_review,general,stock,株式,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02036,N1,根回し,ねまわし,making necessary arrangements,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,laying the groundwork | behind-the-scenes maneuvering | consensus-building process | digging around the roots of a tree (before transplanting),review,48,action_needs_review,person_family,person makinging necessary arrangements,根回し,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02037,N1,根底,こんてい,root;basis;foundation,noun (common) (futsuumeishi),root | basis | foundation,review,55,noun_needs_review,general,root,根底,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02038,N1,根拠,こんきょ,basis;foundation,noun (common) (futsuumeishi),basis | grounds | foundation | reason | authority,review,55,noun_needs_review,general,basis,根拠,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02039,N1,根本,こんぽん,origin;source;foundation;root;base;principle,noun (common) (futsuumeishi),kabuki script | illustrated kabuki script,review,55,noun_needs_review,general,origin,根本,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02040,N1,根気,こんき,patience;perseverance;energy,noun (common) (futsuumeishi),patience | perseverance | persistence | tenacity | energy,review,55,noun_needs_review,general,patience,根気,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02042,N1,格差,かくさ,qualitative difference;disparity,noun (common) (futsuumeishi),qualitative difference | disparity | gap,review,55,noun_needs_review,general,qualitative difference,格差,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02043,N1,栽培,さいばい,cultivation,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,cultivation,review,48,action_needs_review,person_family,person cultivationing,栽培,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02045,N1,案の定,あんのじょう,sure enough;as usual,adverb (fukushi),as expected | just as one thought | as feared | sure enough,review,48,action_needs_review,person_family,person suring enough,案の定,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02047,N1,桟橋,さんきょう,wharf;bridge;jetty;pier,noun (common) (futsuumeishi),wharf | bridge | jetty | pier,review,55,noun_needs_review,general,wharf,桟橋,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02048,N1,梅干,うめぼし,dried plum,noun (common) (futsuumeishi),umeboshi | pickled dried ume | pickled dried plum,review,55,noun_needs_review,general,dried plum,梅干,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02049,N1,梢,こずえ,treetop,noun (common) (futsuumeishi),treetop | tip of a branch,review,55,noun_needs_review,general,treetop,梢,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02050,N1,梯子,ていし,ladder;stairs,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb | intransitive verb,ladder | stairs | going to several places in succession (e.g. barhopping),review,48,action_needs_review,person_family,person ladderring,梯子,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02051,N1,棄権,きけん,abstain from voting;renunciation of a right,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,abstention (from voting) | renunciation (of a right) | withdrawal (from a contest),review,48,action_needs_review,person_family,person abstaining from voting,棄権,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02054,N1,植民地,しょくみんち,colony,noun (common) (futsuumeishi),colony | (Japanese) settlement (in Brazil),review,55,noun_needs_review,general,colony,植民地,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02055,N1,検事,けんじ,public prosecutor,noun (common) (futsuumeishi),public prosecutor,review,55,noun_needs_review,general,public prosecutor,検事,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02056,N1,業,ごう,Buddhist karma;actions committed in a former life,noun (common) (futsuumeishi),karma | result of one's karma | fate | destiny | uncontrollable temper,review,55,noun_needs_review,general,Buddhist karma,業,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02057,N1,業務,ぎょうむ,business;affairs;duties;work,noun (common) (futsuumeishi),business | work | operations | service | duties,review,55,noun_needs_review,general,business,業務,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02058,N1,業績,ぎょうせき,achievement;performance;results;work;contribution,noun (common) (futsuumeishi),achievement | performance | results | work | contribution,review,55,noun_needs_review,general,achievement,業績,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02059,N1,業者,ぎょうしゃ,trader;merchant,noun (common) (futsuumeishi),trader | dealer | businessperson | company | vendor,review,55,noun_needs_review,general,trader,業者,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02060,N1,極めて,きわめて,exceedingly;extremely,adverb (fukushi),exceedingly | extremely | decisively,review,48,action_needs_review,person_family,person exceedinglying,極めて,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02061,N1,極楽,ごくらく,paradise,noun (common) (futsuumeishi),Sukhavati (Amitabha's Pure Land) | paradise | heaven on earth,review,55,noun_needs_review,general,paradise,極楽,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02064,N1,楽観,らっかん,optimism,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,optimism | taking an optimistic view,review,48,action_needs_review,person_family,person optimisming,楽観,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02065,N1,楽譜,がくふ,score (music),noun (common) (futsuumeishi),score | sheet music,review,55,noun_needs_review,general,score,楽譜,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02067,N1,概略,がいりゃく,outline;summary;gist;in brief,noun (common) (futsuumeishi) | adverb (fukushi),outline | summary | gist | in brief,review,48,action_needs_review,person_family,person outlining,概略,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02068,N1,概説,がいせつ,general statement;outline,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,overview | outline | rough summary,review,48,action_needs_review,person_family,person generalling statement,概説,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02069,N1,構え,かまえ,posture;pose;style,noun (common) (futsuumeishi),structure | construction | appearance | posture (e.g. in martial arts) | pose,review,55,noun_needs_review,general,posture,構え,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02071,N1,構想,こうそう,plan;plot;idea;conception,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,plan | plot | idea | conception | vision,review,48,action_needs_review,person_family,person planning,構想,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02073,N1,様式,ようしき,style;form;pattern,noun (common) (futsuumeishi),style | form | pattern,review,55,noun_needs_review,general,style,様式,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02074,N1,様相,ようそう,aspect,noun (common) (futsuumeishi),aspect | phase | condition | modality,review,55,noun_needs_review,general,aspect,様相,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02075,N1,標語,ひょうご,motto;slogan;catchword,noun (common) (futsuumeishi),motto | slogan | catchword,review,55,noun_needs_review,general,motto,標語,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02078,N1,模範,もはん,exemplar;exemplification;exemplum;model;example,noun (common) (futsuumeishi),exemplar | model | example | pattern,review,55,noun_needs_review,general,exemplar,模範,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02079,N1,模索,もさく,groping (for),noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,"groping (for) | fumbling around (for) | searching (for an answer, solution, etc.) | trying to find",review,48,action_needs_review,person_family,person gropinging,模索,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02082,N1,権威,けんい,authority;power;influence,noun (common) (futsuumeishi),authority | power | influence | prestige | (an) authority (on),review,55,noun_needs_review,general,authority,権威,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02083,N1,権限,けんげん,power;authority;jurisdiction,noun (common) (futsuumeishi),power | authority | jurisdiction,review,55,noun_needs_review,general,power,権限,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02084,N1,横綱,よこづな,sumo grand champion,noun (common) (futsuumeishi),yokozuna (highest rank in sumo) | grand champion | best in its field | crème de la crème | cream of the crop,review,55,noun_needs_review,general,sumo grand champion,横綱,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02085,N1,樹木,じゅもく,trees and shrubs;arbour,noun (common) (futsuumeishi),tree | trees and shrubs,review,55,noun_needs_review,general,trees and shrubs,樹木,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02086,N1,樹立,じゅりつ,establish;create,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb | intransitive verb,establishment | founding | setting (a record),review,48,action_needs_review,person_family,person establishing,樹立,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02088,N1,機,はた,loom,noun (common) (futsuumeishi),loom,review,55,noun_needs_review,general,loom,機,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02089,N1,機構,きこう,mechanism;organization,noun (common) (futsuumeishi),mechanism | machinery | system | structure | organization,review,55,noun_needs_review,general,mechanism,機構,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02090,N1,檻,おり,cage;pen;jail cell,noun (common) (futsuumeishi),cage | pen | (jail) cell,review,55,noun_needs_review,general,cage,檻,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02092,N1,欠乏,けつぼう,want;shortage;famine,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,deficiency | insufficiency | shortage | lack | want,review,48,action_needs_review,person_family,person wanting,欠乏,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02095,N1,欲望,よくぼう,desire;appetite,noun (common) (futsuumeishi),desire | appetite | lust,review,55,noun_needs_review,general,desire,欲望,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02098,N1,歎,たん,grief;sigh;lamentation,noun (common) (futsuumeishi),sigh | grief | lamentation,review,55,noun_needs_review,general,grief,歎,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02099,N1,歓声,かんせい,cheer;shout of joy,noun (common) (futsuumeishi),cheer | shout of joy,review,55,noun_needs_review,general,cheer,歓声,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02103,N1,正しく,まさしく,surely;no doubt;evidently,adverb (fukushi),certainly | surely | undoubtedly | evidently | really,review,48,action_needs_review,person_family,person surelying,正しく,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02104,N1,正に,まさに,correctly;surely,adverb (fukushi),exactly | just | precisely | really | truly,review,48,action_needs_review,person_family,person correctlying,正に,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02107,N1,正義,せいぎ,justice;right;righteousness;correct meaning,noun (common) (futsuumeishi),justice | right | righteousness | correct meaning | correct explanation,review,55,noun_needs_review,general,justice,正義,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02109,N1,正解,せいかい,correct;right;correct interpretation (answer solution),noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb | intransitive verb,correct answer | right solution | correct interpretation | right decision | right choice,review,48,action_needs_review,person_family,person correcting,正解,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02113,N1,武力,ぶりょく,armed might;military power;the sword;force,noun (common) (futsuumeishi),armed might | military power | the sword | force,review,55,noun_needs_review,general,armed might,武力,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02114,N1,武装,ぶそう,arms;armament;armed,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,arms | armament | taking up arms | arming oneself,review,48,action_needs_review,person_family,person armsing,武装,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02115,N1,歩,ふ,pawn (in chess or shogi),noun (common) (futsuumeishi),pawn,review,55,noun_needs_review,general,pawn,歩,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02116,N1,歩み,あゆみ,walking,noun (common) (futsuumeishi),"walking | pace | step | course (of history, one's life, etc.) | history",review,55,noun_needs_review,general,walking,歩み,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02119,N1,歯磨,はみがき,dentifrice;toothpaste,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,dental brushing | brushing one's teeth | dentifrice | toothpaste | tooth powder,review,48,action_needs_review,person_family,person dentifricing,歯磨,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02120,N1,歯科,しか,dentistry,noun (common) (futsuumeishi),dentistry,review,55,noun_needs_review,general,dentistry,歯科,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02122,N1,死,し,death;decease,noun (common) (futsuumeishi),death | (an) out | death penalty (by strangulation or decapitation; most severe of the five ritsuryō punishments),review,55,noun_needs_review,general,death,死,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02123,N1,死刑,しけい,death penalty;capital punishment,noun (common) (futsuumeishi),death penalty | capital punishment,review,55,noun_needs_review,general,death penalty,死刑,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02124,N1,殆ど,ほとんど,mostly;almost,adverb (fukushi),almost | nearly | mostly | practically | virtually,review,48,action_needs_review,person_family,person mostlying,殆ど,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02125,N1,殊に,ことに,especially;above all,adverb (fukushi),especially | particularly | unusually | above all | additionally,review,48,action_needs_review,person_family,person especiallying,殊に,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02128,N1,残高,ざんだか,(bank) balance;remainder,noun (common) (futsuumeishi),(bank) balance | remainder,review,55,noun_needs_review,general,balance,残高,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02131,N1,殺人,さつじん,murder,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb | intransitive verb,murder | homicide | manslaughter,review,48,action_needs_review,person_family,person murderring,殺人,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02132,N1,殿,しんがり,rear;rear unit guard,noun (common) (futsuumeishi),rear | rear unit guard | anchor (man),review,55,noun_needs_review,general,rear,殿,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02133,N1,殿様,とのさま,feudal lord,noun (common) (futsuumeishi),nobleman | dignitary | lord | feudal lord (of the Edo period) | daimyo,review,55,noun_needs_review,general,feudal lord,殿様,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02134,N1,母校,ぼこう,alma mater,noun (common) (futsuumeishi),alma mater,review,55,noun_needs_review,general,alma mater,母校,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02136,N1,比例,ひれい,proportion,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,proportion | proportional representation section (of an election),review,48,action_needs_review,person_family,person proportioning,比例,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02137,N1,比率,ひりつ,ratio;proportion;percentage,noun (common) (futsuumeishi),ratio | proportion | percentage,review,55,noun_needs_review,general,ratio,比率,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02138,N1,比重,ひじゅう,specific gravity,noun (common) (futsuumeishi),specific gravity | relative density | relative importance | weight,review,55,noun_needs_review,general,specific gravity,比重,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02141,N1,民主,みんしゅ,democratic;the head of the nation,noun (common) (futsuumeishi),democracy | popular sovereignty | Democratic Party of Japan (1998-2016),review,55,noun_needs_review,general,democratic,民主,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02143,N1,民宿,みんしゅく,private home providing lodging for travelers,noun (common) (futsuumeishi),guest house | private home providing lodging for travelers | bed and breakfast | pension,review,55,noun_needs_review,general,private home providing lodging for travelers,民宿,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02146,N1,気兼ね,きがね,hesitance;diffidence;feeling constraint;fear of troubling someone;having scruples about doing someth,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,constraint | reserve | feeling hesitant | being afraid of troubling someone,review,48,action_needs_review,person_family,person hesitancing,気兼ね,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02147,N1,気品,きひん,aroma,noun (common) (futsuumeishi),elegance | refinement | grace | dignity | aroma,review,55,noun_needs_review,general,aroma,気品,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02149,N1,気流,きりゅう,atmospheric current,noun (common) (futsuumeishi),atmospheric current | air current | airflow,review,55,noun_needs_review,general,atmospheric current,気流,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02150,N1,気立て,きだて,disposition;nature,noun (common) (futsuumeishi),disposition | nature,review,55,noun_needs_review,general,disposition,気立て,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02155,N1,気配,きはい,indication;market trend;worry,noun (common) (futsuumeishi),indication | sign | hint | sensation | feeling,review,55,noun_needs_review,general,indication,気配,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02157,N1,気風,きふう,character;traits;ethos,noun (common) (futsuumeishi),character | traits | ethos,review,55,noun_needs_review,general,character,気風,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02158,N1,水気,すいき,1. moisture;dampness;vapor; 2. dropsy;edema,noun (common) (futsuumeishi),water content | moisture | juiciness | dampness | water vapor (vapour),review,55,noun_needs_review,general,1. moisture,水気,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02159,N1,水洗,すいせん,flushing,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,washing with water | rinsing | flushing,review,48,action_needs_review,person_family,person flushinging,水洗,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02161,N1,水田,すいでん,(water-filled) paddy field,noun (common) (futsuumeishi),(water-filled) paddy field,review,55,noun_needs_review,general,paddy field,水田,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02162,N1,氾濫,はんらん,overflowing;flood,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,overflowing | flood | inundation | deluge | oversupply,review,48,action_needs_review,person_family,person overflowinging,氾濫,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02165,N1,汚れ,けがれ,uncleanness;impurity;disgrace,noun (common) (futsuumeishi),uncleanness | impurity | defilement | disgrace | shame,review,55,noun_needs_review,general,uncleanness,汚れ,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02167,N1,決まり悪い,きまりわるい,feeling awkward;being ashamed,adjective (keiyoushi),embarrassed | ashamed,review,42,abstract_state,general,feeling awkward,決まり悪い,general,adjective is abstract or context-dependent,Tanos JLPT vocabulary
n1_02169,N1,決勝,けっしょう,decision of a contest;finals (in sports),noun (common) (futsuumeishi),decision of a contest | finals,review,55,noun_needs_review,general,decision of a contest,決勝,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02170,N1,決意,けつい,decision;determination,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,decision | determination | resolution,review,48,action_needs_review,person_family,person decisioning,決意,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02171,N1,決断,けつだん,decision;determination,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,decision | determination,review,48,action_needs_review,person_family,person decisioning,決断,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02173,N1,決行,けっこう,doing (with resolve);carrying out (i.e. a plan),noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,doing (with resolve) | carrying out (e.g. a plan),review,48,action_needs_review,person_family,person doinging,決行,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02174,N1,決議,けつぎ,resolution;vote;decision,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,resolution | vote | decision,review,48,action_needs_review,person_family,person resolutioning,決議,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02175,N1,汽船,きせん,steamship,noun (common) (futsuumeishi),steamship | steamboat | steamer,review,55,noun_needs_review,general,steamship,汽船,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02177,N1,沈殿,ちんでん,precipitation;settlement,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,precipitation | deposition | settlement (e.g. of sediment),review,48,action_needs_review,person_family,person precipitationing,沈殿,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02178,N1,沈没,ちんぼつ,sinking;foundering,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,sinking | foundering | going down | submersion | getting dead drunk,review,48,action_needs_review,person_family,person sinkinging,沈没,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02179,N1,沈黙,ちんもく,silence;reticence,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,silence | being silent | quiet | hush | reticence,review,48,action_needs_review,person_family,person silencing,沈黙,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02180,N1,没収,ぼっしゅう,forfeited,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,seizure | confiscation | impounding | sequestration | forfeiture,review,48,action_needs_review,person_family,person forfeitedding,没収,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02181,N1,没落,ぼつらく,ruin;fall;collapse,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,ruin | fall | collapse | downfall | bankruptcy,review,48,action_needs_review,person_family,person ruining,没落,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02183,N1,河川,かせん,rivers,noun (common) (futsuumeishi),rivers,review,55,noun_needs_review,general,rivers,河川,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02184,N1,沸騰,ふっとう,boiling;seething,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,boiling | seething | becoming heated (e.g. of a debate) | excitement | agitation,review,48,action_needs_review,person_family,person boilinging,沸騰,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02185,N1,油絵,あぶらえ,oil painting,noun (common) (futsuumeishi),oil painting,review,55,noun_needs_review,general,oil painting,油絵,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02187,N1,治安,ちあん,public order,noun (common) (futsuumeishi),public order | public peace | public security | law and order,review,55,noun_needs_review,general,public order,治安,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02188,N1,治療,ちりょう,medical treatment,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,(medical) treatment | care | therapy | cure | remedy,review,48,action_needs_review,person_family,person medicalling treatment,治療,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02192,N1,沿岸,えんがん,coast;shore,noun (common) (futsuumeishi),coast | shore | coastal waters | inshore waters | coastal area,review,55,noun_needs_review,general,coast,沿岸,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_02194,N1,況して,まして,still more;still less (with neg. verb);to say nothing of;not to mention,"expressions (phrases, clauses, etc.) | adverb (fukushi)",still more | to say nothing of | not to mention | still less,review,48,action_needs_review,person_family,person stilling more,況して,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_02196,N1,泌み泌み,しみじみ,keenly;deeply;heartily,,,review,45,manual_review,general,keenly,泌み泌み,general,insufficient POS signal,Tanos JLPT vocabulary
